Oceanus Procellarum 
Mare Frigoris 
Mare Imbrium 
Mare Fecunditatis 
Mare Tranquillitatis 
Mare Nubium 
Mare Serenitatis 
Mare Australe 
Mare Insularum 
Mare Marginis 
Mare Crisium 
Mare Humorum 
Mare Cognitum 
Mare Smythii 
Mare Nectaris 
Mare Orientale 
Mare Ingenii 
Mare Moscoviense 
Mare Humboldtianum 
Mare Vaporum 
Mare Undarum 
Mare Anguis 
Mare Spumans 
Lacus Veris 
Lacus Somniorum 
Lacus Excellentiae 
Lacus Autumni 
Lacus Mortis 
Lacus Solitudinis 
Lacus Temporis 
Lacus Timoris 
Lacus Gaudii 
Lacus Doloris 
Lacus Bonitatis 
Lacus Aestatis 
Lacus Felicitatis 
Lacus Lenitatis 
Lacus Spei 
Lacus Odii 
Lacus Perseverantiae 
Lacus Hiemalis 
Lacus Luxuriae 
Lacus Oblivionis 
Sinus Medii 
Sinus Aestuum 
Palus Epidemiarum 
Sinus Iridum 
Sinus Asperitatis 
Sinus Roris 
Palus Putredinis 
Palus Somni 
Sinus Concordiae 
Sinus Successus 
Sinus Amoris 
Sinus Lunicus 
Sinus Honoris 
Sinus Fidei 

